TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;80,37;0,650000;9,58;110,80;0,72;61.925,77;1,48;4,16;21,98;521.747.901,19;14.076,00;;4.709.082,00
AFHI11;96,58;1,010000;12,53;94,56;1,02;787.107,59;8,33;-1,55;14,08;452.869.788,71;37.615,00;;4.789.243,00
AIEC11;54,10;0,340000;7,35;76,57;0,71;498.063,14;6,95;-24,26;7,47;369.465.454,72;13.550,00;;4.824.987,00
AJFI11;8,20;0,050000;8,19;11,11;0,74;390.646,73;0,70;;;351.455.746,74;11.371,00;;31.625.978,00
ALMI11;645,00;4,530000;7,11;2.062,46;0,31;12.068,52;4,57;;-8,25;229.298.384,99;1.886,00;;111.177,00
ALZC11;7,97;0,107000;15,76;9,40;0,84;363.076,77;1,59;;;185.921.831,30;9.946,00;;19.772.485,00
ALZM11;6,32;0,080000;0,00;7,46;0,85;0,00;3,80;-6,90;-9,05;113.203.496,22;12.195,00;Ativa;15.180.540,00
ALZR11;10,78;0,085100;9,31;10,64;1,01;2.392.322,36;3,08;0,66;8,56;1.300.994.832,06;178.582,00;;122.266.250,00
ANCR11B;3.221,00;1,440191;0,04;114,28;28,19;;2,05;;;3.055.246.255,97;235,00;;26.735.046,00
APTO11;9,00;0,080000;12,81;9,78;0,86;29.392,59;10,01;-3,41;11,74;45.116.014,44;7.938,00;;4.612.227,00
APXM11;83,68;0,491972;5,06;127,19;0,66;559.527,67;0,81;;;359.844.384,70;664,00;;2.829.142,00
APXR11;100,00;;0,00;78,10;1,28;409,09;0,02;;;8.557.693,22;163,00;;109.567,00
APXU11;95,00;;0,00;79,71;1,19;241,82;22,03;;;8.094.160,33;46,00;;101.542,00
AQLL11;385,03;;0,00;793,06;0,49;;0,26;;;115.642.747,98;83,00;;145.817,00
ARFI11B;479,99;;0,00;63,81;7,52;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
AROA11;1,09;0,007300;8,73;0,96;1,17;5.040,82;2,37;17,76;;161.378.690,85;5.123,00;;167.926.832,00
